id;company_name;start_date;end_date;company_details;placement_type;salary_package;stage
1;Isle;2021-08-20T23:19:55;2021-08-20T16:38:05;connecting Global;FULLTIME;Account Health;COMPLETED
2;Generic Customizable International;2021-08-20T20:31:14;2021-08-20T20:40:12;reboot invoice;FULLTIME;Berkshire optical Integrated;NOTSELECTED
3;Small;2021-08-20T21:24:42;2021-08-20T19:14:33;Metal Automotive;FULLTIME;Greece Australian;SELECTED
4;invoice card Buckinghamshire;2021-08-20T05:10:35;2021-08-20T04:21:42;Peso Haven;FULLTIME;Philippines;ONGOING
5;tan Computer Hat;2021-08-20T15:15:13;2021-08-20T13:14:28;monetize;INTERNSHIP;encompassing magnetic Grass-roots;NOOFFERRECEIVED
6;Caribbean;2021-08-20T05:43:48;2021-08-20T11:18:30;vortals Kentucky;INTERNSHIP;Mouse magnetic SCSI;NOOFFERRECEIVED
7;Borders composite;2021-08-20T22:59:19;2021-08-20T14:45:31;quantify;INTERNSHIP;Bolivia;SELECTED
8;vertical;2021-08-20T16:16:17;2021-08-20T03:03:18;Azerbaijanian plug-and-play firewall;INTERNSHIP;bandwidth structure payment;COMPLETED
9;solution;2021-08-20T13:44:03;2021-08-20T04:29:17;Pants;FULLTIME;unleash Buckinghamshire;NOTSTARTED
10;synthesize bypassing;2021-08-20T03:55:30;2021-08-20T13:46:52;mobile;INTERNSHIP;harness leverage;NOTSELECTED
