id;start_date;end_date;duration;skills_required;link
1;2021-08-21T00:18:35;2021-08-20T10:36:09;40014;Pennsylvania firewall Designer;Michigan
2;2021-08-20T09:00:33;2021-08-21T00:26:58;4866;Rubber Chief XSS;Account 1080p Exclusive
3;2021-08-20T09:01:51;2021-08-20T07:10:38;79265;cyan;cultivate Pound
4;2021-08-20T16:31:52;2021-08-20T19:23:52;26016;solid Sleek Concrete;yellow hard
5;2021-08-20T17:04:33;2021-08-20T16:26:48;90906;Place Money Caledonia;Martinique driver Shoes
6;2021-08-20T21:50:57;2021-08-20T09:27:33;70555;Integration;Isle models
7;2021-08-20T09:47:11;2021-08-20T23:04:06;53197;Egypt COM Leu;Illinois Sleek
8;2021-08-21T01:45:27;2021-08-20T23:26:45;31305;plug-and-play circuit;invoice
9;2021-08-20T22:23:28;2021-08-20T19:55:53;51569;Account Infrastructure;interactive technologies
10;2021-08-20T04:26:57;2021-08-20T07:13:01;32336;dynamic deposit;azure Car
